SC,名称,市場,業種,時価総額(百万円),発行済株式数,配当利回り（予想）,1株配当（予想）,PER（予想）,PBR（実績）,EPS（予想）,BPS（実績）,最低購入額,単元株,高値日付,年初来高値,安値日付,年初来安値
1332,ニッスイ,東証PR,水産・農林,269409,312430277,3.25,28,11.17,1.02,77.21,842.12,86230,100,20250324,947,20250407,795
1333,マルハニチロ,東証PR,水産・農林,161903,50578837,3.44,110,7.33,0.72,436.79,4448.18,320100,100,20250423,3384,20250117,2874
1381,アクシーズ,東証ST,水産・農林,16594,5617500,3.33,98.5,13.82,0.79,213.69,3742.71,295400,100,20250404,3300,20250407,2550
1384,ホクリヨウ,東証ST,水産・農林,13086,8459000,4.52,70,6.63,0.97,233.36,1602.81,154700,100,20250418,1736,20250117,1190
1407,ウエストホールディングス,東証ST,建設,70882,46027488,4.22,65,7.62,1.96,201.97,787.43,154000,100,20250122,1983,20250407,1340
1417,ミライト・ワン,東証PR,建設,204158,91325329,3.35,75,11.3,0.81,197.91,2751.29,223550,100,20250217,2444,20250407,1860
1418,インターライフホールディングス,東証ST,建設,6243,17010529,5.45,20,9.49,1.35,38.66,271.55,36700,100,20250414,483,20250117,301
1419,タマホーム,東証PR,建設,114878,29455800,5.0,195,80.75,3.93,48.3,993.61,390000,100,20250430,4020,20250117,3050
1420,サンヨーホームズ,東証ST,建設,8506,12620000,3.71,25,9.41,0.52,71.62,1296.76,67400,100,20250310,742,20250407,600
1429,日本アクア,東証PR,建設,25966,34760000,4.69,35,11.53,2.26,64.78,330.5,74700,100,20250401,792,20250407,650
1430,ファーストコーポレーション,東証ST,建設,12642,13363540,4.44,42,6.89,1.22,137.27,777.35,94600,100,20250402,1052,20250117,826
1434,JESCOホールディングス,東証ST,建設,5897,6954000,3.54,30,5.34,0.86,158.94,984.77,84800,100,20250219,1025,20250407,721
1450,TANAKEN,東証ST,建設,11953,8699600,3.64,50,9.19,1.55,149.45,889.09,137400,100,20250501,1459,20250407,1125
146A,コロンビア・ワークス,東証ST,不動産,13712,3471400,3.49,138,4.99,1.13,792.19,3485.84,395000,100,20250217,4415,20250407,3235
1514,住石ホールディングス,東証ST,鉱業,47459,67222853,4.25,30,9.15,1.61,77.2,438.43,70600,100,20250204,862,20250407,541
1515,日鉄鉱業,東証PR,鉱業,104404,16704638,3.46,216,12.23,0.71,510.95,8841.08,625000,100,20250326,7430,20250114,4360
1518,三井松島ホールディングス,東証PR,その他製品,53237,13064400,3.19,130,5.99,0.74,679.94,5521.72,407500,100,20250120,4825,20250407,3275
156A,マテリアルグループ,東証GR,サービス,6736,9877197,3.81,26,10.37,3.24,65.75,210.26,68200,100,20250325,773,20250407,553
1605,INPEX,東証PR,鉱業,2296664,1259136067,4.93,90,6.62,0.45,275.55,4026.22,182400,100,20250328,2152,20250409,1651
165A,SBIレオスひふみ,東証GR,証券・先物,18718,103416800,3.76,6.8,13.36,2.51,13.55,72.05,18100,100,20250212,273,20250407,150
1662,石油資源開発,東証PR,鉱業,269079,257000380,5.25,55,3.33,0.54,314.12,1938.09,104700,100,20250321,1269,20250407,893
166A,タスキホールディングス,東証GR,不動産,35263,53836723,5.34,35,7.1,1.56,92.19,420.56,65500,100,20250106,852,20250407,543
167A,リョーサン菱洋ホールディングス,東証PR,卸売,129870,54000000,5.82,140,12.04,0.72,199.76,3322.81,240500,100,20250319,2641,20250407,2035
1717,明豊ファシリティワークス,東証ST,サービス,11383,12775900,4.66,41.5,11.9,1.94,74.9,458.41,89100,100,20250213,987,20250407,811
1718,美樹工業,東証ST,建設,6112,1153263,3.77,200,6.44,0.36,823.45,14835.85,530000,100,20250430,5550,20250407,4540
1719,安藤・間,東証PR,建設,256869,181021197,4.93,70,8.39,1.37,169.13,1038.59,141900,100,20250423,1436,20250117,1118
1720,東急建設,東証PR,建設,87331,106761205,4.65,38,13.1,0.89,62.46,921.52,81800,100,20250424,845,20250407,698
1721,コムシスホールディングス,東証PR,建設,427063,133000000,3.43,110,14.14,1.04,227.14,3079.76,321100,100,20250212,3395,20250407,2850
1723,日本電技,東証ST,建設,64432,16395000,3.1,122,10.16,1.68,386.87,2340.26,393000,100,20250401,4055,20250407,3065
1724,シンクレイヤ,東証ST,建設,3164,4943780,4.38,28,5.62,0.48,113.87,1320.51,64000,100,20250318,667,20250407,543
1726,ビーアールホールディングス,東証PR,建設,15204,45795000,4.52,15,9.6,1.03,34.57,323.48,33200,100,20250318,349,20250407,296
1736,オーテック,東証ST,建設,24607,17100000,3.94,56.67,7.79,1.05,184.74,1366.04,143900,100,20250327,1517,20250407,1155
1758,太洋基礎工業,東証ST,建設,4352,2458800,3.11,55,8.28,0.4,213.66,4445.16,177000,100,20250317,1944,20250409,1503
1764,工藤建設,東証ST,建設,3914,1331220,3.4,100,10.81,0.71,272.04,4113.42,294000,100,20250402,3110,20250407,2508
1768,ソネック,東証ST,建設,6263,7500000,3.59,30,25.63,0.69,32.58,1207.88,83500,100,20250421,880,20250409,808
1770,藤田エンジニアリング,東証ST,建設,14923,10200000,3.42,50,10.32,0.72,141.83,2025.99,146300,100,20250212,1670,20250407,1201
1776,三井住建道路,東証ST,建設,12256,9277500,3.03,40,73.55,0.91,17.96,1458.61,132100,100,20250416,1491,20250114,1045
1786,オリエンタル白石,東証PR,建設,52054,138809400,3.87,14.5,13.43,0.96,27.92,391.89,37500,100,20250214,401,20250407,323
1787,ナカボーテック,東証ST,建設,12960,2602500,5.52,275,12.63,1.51,394.15,3296.18,498000,100,20250325,6350,20250407,4710
1799,第一建設工業,東証ST,建設,53919,20858491,3.09,80,10.85,0.69,238.24,3735.14,258500,100,20250325,2795,20250407,2093
1802,大林組,東証PR,建設,1596340,721509646,3.62,80,10.94,1.39,202.23,1592.47,221250,100,20250502,2239,20250407,1742
1807,佐藤渡辺,東証ST,建設,10034,6391400,5.1,80,14.59,0.47,107.63,3305.87,157000,100,20250218,1778,20250407,1400
1808,長谷工コーポレーション,東証PR,建設,609560,300794397,4.19,85,18.44,1.09,109.89,1850.94,202650,100,20250217,2081,20250407,1788
1810,松井建設,東証ST,建設,29204,30580000,3.14,30,10.23,0.57,93.35,1683.52,95500,100,20250430,991,20250407,776
1812,鹿島建設,東証PR,建設,1810118,528656011,3.04,104,13.48,1.36,253.93,2510.26,342400,100,20250502,3482,20250115,2573
1814,大末建設,東証PR,建設,21451,10614225,4.4,89,12.4,0.92,162.99,2205.09,202100,100,20250424,2094,20250407,1575
1815,鉄建建設,東証PR,建設,40415,14973956,4.52,122,11.17,0.54,241.69,4982.72,269900,100,20250213,2800,20250407,2085
1820,西松建設,東証PR,建設,217316,41791502,4.23,220,11.73,1.23,443.36,4231.17,520000,100,20250428,5345,20250407,4180
1826,佐田建設,東証ST,建設,16328,15521233,5.7,60,29.53,1.05,35.63,999.25,105200,100,20250212,1196,20250407,920
1828,田辺工業,東証ST,建設,22529,10728000,3.57,75,10,0.9,210.04,2320.91,210000,100,20250321,2249,20250407,1725
1833,奥村組,東証PR,建設,169547,38665226,4.93,216,18.46,0.89,237.53,4923.11,438500,100,20250321,4505,20250117,3745
1835,東鉄工業,東証PR,建設,113354,36100000,3.18,100,10.81,0.95,290.44,3304.47,314000,100,20250106,3370,20250407,2652
1840,土屋ホールディングス,東証ST,建設,5774,25775118,4.46,10,11.67,0.45,19.2,492.82,22400,100,20250317,248,20250407,185
1844,大盛工業,東証ST,建設,5098,18672849,3.66,10,15.07,0.9,18.12,304.76,27300,100,20250319,297,20250117,203
1847,イチケン,東証ST,建設,20411,7284400,5.0,140,5.22,0.62,537.26,4530.86,280200,100,20250218,2990,20250407,2402
1852,淺沼組,東証PR,建設,59782,80786290,5.0,37,14.84,1.35,49.87,548.91,74000,100,20250423,772,20250117,622
1853,森組,東証ST,建設,9971,32800000,4.61,14,14.23,0.69,21.37,441.58,30400,100,20250325,326,20250407,280
1860,戸田建設,東証PR,建設,286842,322656796,3.26,29,10.69,0.79,83.18,1120.66,88900,100,20250212,1003,20250407,758
1861,熊谷組,東証PR,建設,184613,43285560,3.05,130,23.81,1.05,179.16,4081.21,426500,100,20250501,4330,20250407,3595
1867,植木組,東証ST,建設,13115,6873528,4.72,90,7.3,0.44,261.33,4317.83,190800,100,20250326,1924,20250117,1543
1870,矢作建設工業,東証PR,建設,64815,44607457,5.51,80,11.58,0.95,125.51,1528.8,145300,100,20250106,1600,20250407,1170
1871,ピーエス・コンストラクション,東証PR,建設,71561,47486029,4.64,70,9.51,1.24,158.45,1217.9,150700,100,20250219,1598,20250106,1125
1873,日本ハウスホールディングス,東証PR,建設,12680,40000000,3.47,11,12.08,0.58,26.25,543.17,31700,100,20250328,360,20250407,297
1878,大東建託,東証PR,不動産,1066177,68918979,4.07,630,12.07,2.26,1281.76,6841.68,1547000,100,20250106,17740,20250407,14375
1879,新日本建設,東証PR,建設,100632,61360720,3.41,56,7.8,0.83,210.29,1986.5,164000,100,20250501,1667,20250407,1311
1882,東亜道路工業,東証PR,建設,75491,50394730,5.67,85,17.76,1.28,84.33,1168.49,149800,100,20250210,1603,20250117,1240
1884,日本道路,東証PR,建設,85476,43946340,3.08,60,16.44,0.84,118.34,2320.02,194500,100,20250423,1998,20250407,1711
1885,東亜建設工業,東証PR,建設,120970,87978516,5.16,71,7.79,1.05,176.49,1308.73,137500,100,20250213,1458,20250407,1067
1887,日本国土開発,東証PR,建設,42664,89255000,4.6,22,14.78,0.58,32.34,825.2,47800,100,20250327,530,20250407,432
1888,若築建設,東証PR,建設,50563,12964993,3.23,126,15.05,1.07,259.14,3660.81,390000,100,20250428,4090,20250221,3375
1890,東洋建設,東証PR,建設,127024,94371183,5.94,80,16.64,1.75,80.91,766.97,134600,100,20250212,1414,20250407,1137
1898,世紀東急工業,東証PR,建設,57334,37424507,5.87,90,15.11,1.4,101.39,1097.49,153200,100,20250306,1600,20250407,1298
1899,福田組,東証PR,建設,46738,8988111,3.85,200,10.01,0.51,519.49,10228.06,520000,100,20250310,5590,20250407,4375
1904,大成温調,東証ST,建設,25878,6882487,3.51,132,9.18,0.86,409.69,4367.81,376000,100,20250321,3960,20250407,3120
1905,テノックス,東証ST,建設,7862,7347680,4.67,50,9.43,0.55,113.52,1929.72,107000,100,20250207,1225,20250407,963
1911,住友林業,東証PR,建設,871062,206070868,4.31,182,7.03,0.99,601.02,4281.62,422700,100,20250128,5524,20250407,3662
1914,日本基礎技術,東証ST,建設,20807,29346400,3.1,22,9.86,0.6,71.91,1183.33,70900,100,20250307,722,20250407,547
1928,積水ハウス,東証PR,建設,2179934,662996866,4.38,144,9.19,1.09,357.97,3027.64,328800,100,20250106,3821,20250407,2906
1929,日特建設,東証PR,建設,43841,41753765,4.57,48,24.35,1.31,43.12,804.59,105000,100,20250203,1089,20250407,909
1930,北陸電気工事,東証PR,建設,34908,29963991,3.78,44,11.24,0.74,103.61,1568.2,116500,100,20250319,1274,20250407,976
1934,ユアテック,東証PR,建設,126759,69191462,3.93,72,10.31,0.85,177.68,2150.42,183200,100,20250428,1880,20250407,1423
1938,日本リーテック,東証PR,建設,40911,25617717,3.76,60,8.41,0.65,189.89,2438.66,159700,100,20250428,1652,20250116,1255
1939,四電工,東証PR,建設,62275,48766410,5.09,65,12.07,0.93,105.76,1370.87,127700,100,20250106,1637,20250407,1076
1941,中電工,東証PR,建設,195344,58138117,3.87,130,11.51,0.8,291.82,4183.81,336000,100,20250428,3605,20250407,2882
1942,関電工,東証PR,建設,582506,205288338,3.17,90,12.61,1.58,225.05,1799.74,283750,100,20250428,2994,20250128,2171
1945,東京エネシス,東証PR,建設,38471,34973752,4.73,52,12.71,0.55,86.57,1994.5,110000,100,20250321,1188,20250407,915
1946,トーエネック,東証PR,建設,108635,96649950,4.63,52,8.69,0.76,129.29,1472.09,112400,100,20250430,1143,20250407,796
1948,弘電社,東証ST,建設,18541,8970000,4.06,84,9.68,0.88,213.54,2337.92,206700,100,20250204,2348,20250407,1600
1950,日本電設工業,東証PR,建設,147935,61537219,3.83,92,10.54,0.72,228.05,3335.76,240400,100,20250501,2465,20250407,1800
1951,エクシオグループ,東証PR,建設,348612,208624838,3.71,62,13.62,1.13,122.73,1477.61,167100,100,20250210,1806,20250407,1502
1952,新日本空調,東証PR,建設,105191,48564450,3.69,80,10.32,1.5,209.96,1440.84,216600,100,20250502,2174,20250407,1451
1959,九電工,東証PR,建設,354325,70864961,3.6,180,11.05,1.14,452.42,4384.3,500000,100,20250131,5564,20250407,4209
1960,サンテック,東証ST,建設,12912,16000000,4.96,40,8.85,0.41,91.18,1952.5,80700,100,20250214,893,20250407,681
1961,三機工業,東証PR,建設,197873,54661156,4.56,165,11.14,1.84,324.82,1972.06,362000,100,20250430,3705,20250407,2805
1963,日揮ホールディングス,東証PR,建設,300898,259618792,3.45,40,-,0.74,-16.56,1564.51,115900,100,20250210,1422,20250407,941
1964,中外炉工業,東証PR,建設,30264,7800000,3.87,150,10.17,1.01,381.42,3858.93,388000,100,20250321,3975,20250407,2723
1965,テクノ菱和,東証ST,建設,61032,21228604,3.48,100,8.68,1.19,331.28,2407.9,287500,100,20250217,3480,20250407,2000
1966,高田工業所,東証ST,建設,10928,7334350,3.36,50,7,0.54,212.88,2774.91,149000,100,20250106,1667,20250407,1160
1968,太平電業,東証PR,建設,105017,21541980,3.59,175,10.29,0.91,473.58,5340.85,487500,100,20250213,5140,20250407,4055
1972,三晃金属工業,東証ST,建設,23087,3960000,5.92,345,8.45,0.83,689.91,7029.63,583000,100,20250205,6470,20250117,4170
1975,朝日工業社,東証PR,建設,57147,27200000,5.71,120,8.72,1.37,240.84,1536.65,210100,100,20250106,2370,20250407,1620
1976,明星工業,東証PR,建設,76227,55117218,4.34,60,7.96,1.02,173.64,1357.67,138300,100,20250106,1530,20250407,1086
1979,大氣社,東証PR,建設,157701,67164018,3.07,72,12.44,1.06,188.81,2222.36,234800,100,20250213,2545,20250407,1999
197A,タウンズ,東証ST,医薬品,51400,102391025,5.58,28,8.43,3.14,59.58,159.99,50200,100,20250114,733,20250407,418
1980,ダイダン,東証PR,建設,190290,45963802,3.89,161,10.32,1.76,401.16,2349.77,414000,100,20250207,4300,20250407,2917
1994,高橋カーテンウォール工業,東証ST,建設,4700,9553011,4.07,20,-,0.37,-39.88,1342.61,49200,100,20250106,578,20250407,457
2003,日東富士製粉,東証ST,食料品,62596,9384728,4.2,280,17.35,1.23,384.39,5432.6,667000,100,20250327,7120,20250407,5810
2004,昭和産業,東証PR,食料品,98557,32995420,3.35,100,8.86,0.72,337.22,4131.95,298700,100,20250423,3090,20250407,2570
2009,鳥越製粉,東証ST,食料品,22105,26036374,5.18,44,19.57,0.55,43.38,1542.32,84900,100,20250421,902,20250117,704
202A,豆蔵デジタルホールディングス,東証GR,情報通信,21700,16050000,4.41,59.58,15.87,7.43,85.19,182.06,135200,100,20250218,1526,20250407,1090
2053,中部飼料,東証PR,食料品,42247,30371908,3.59,50,12.1,0.62,114.99,2247.03,139100,100,20250423,1458,20250407,1191
205A,ロゴスホールディングス,東証GR,建設,3913,3913348,4.53,45.33,649.35,1.43,1.54,701.19,100000,100,20250106,2439,20250424,919
2060,フィード・ワン,東証PR,食料品,34014,38477128,3.34,29.5,7.52,0.63,117.61,1394.25,88400,100,20250423,942,20250123,762
2108,日本甜菜製糖,東証PR,食料品,35264,15325642,3.48,80,10.74,0.38,214.27,6113.43,230100,100,20250318,2473,20250407,2021
2109,DM三井製糖,東証PR,食料品,109017,32639780,3.89,130,21.56,0.92,154.92,3619.15,334000,100,20250310,3665,20250407,3020
2112,塩水港精糖,東証ST,食料品,10885,35000000,3.22,10,4.06,0.53,76.61,584.44,31100,100,20250210,425,20250407,272
2114,フジ日本,東証ST,食料品,26773,25718700,3.27,34,11.61,1.12,89.66,928.9,104100,100,20250430,1084,20250407,1000
2117,ウェルネオシュガー,東証PR,食料品,76785,32800095,3.93,92,15.34,1.05,152.57,2238.77,234100,100,20250210,2438,20250407,2100
211A,カドス・コーポレーション,東証ST,建設,3701,1012500,3.56,130,8.43,0.85,433.58,4280.49,365500,100,20250422,3760,20250305,2575
2121,MIXI,東証PR,サービス,227828,73730850,3.56,110,12.23,1.21,252.65,2543.82,309000,100,20250214,3945,20250114,2830
2122,インタースペース,東証ST,サービス,6479,6967200,3.23,30,14.59,1.05,63.73,882.59,93000,100,20250414,1001,20250409,868
2124,ジェイエイシーリクルートメント,東証PR,サービス,134432,165557200,3.94,32,18.34,7.1,44.27,114.43,81200,100,20250421,839,20250207,645
2127,日本M＆Aセンターホールディングス,東証PR,サービス,225510,336934800,4.33,29,19.3,4.5,34.68,148.71,66930,100,20250129,729,20250407,483
2136,ヒップ,東証ST,サービス,3975,3975300,5.1,51,10.54,0.99,94.87,1005.1,100000,100,20250206,1217,20250407,895
2146,UTグループ,東証PR,サービス,78525,39860383,5.7,112.33,9.68,2.43,203.5,809.69,197000,100,20250213,2545,20250407,1557
2148,アイティメディア,東証PR,サービス,33297,21061000,6.33,100,20.46,3.27,77.26,483.16,158100,100,20250214,1738,20250407,1266
2153,E・Jホールディングス,東証PR,サービス,25887,16078920,4.04,65,8.28,0.84,194.34,1920.79,161000,100,20250328,1732,20250407,1411
2154,オープンアップグループ,東証PR,サービス,168016,91811787,4.1,75,14.45,2.11,126.64,867.55,183000,100,20250129,1961,20250407,1481
2163,アルトナー,東証PR,サービス,19864,10627920,4.49,84,15.59,4.22,119.9,443.1,186900,100,20250107,2134,20250407,1524
2168,パソナグループ,東証PR,サービス,86369,40190300,3.49,75,-,0.6,-109.79,3562.48,214900,100,20250318,2298,20250407,1861
2169,CDS,東証ST,サービス,12769,6924400,4.01,74,11.89,1.41,155.14,1304.76,184400,100,20250428,1880,20250130,1721
2173,博展,東証GR,サービス,8693,16248520,3.74,20,8.23,2.48,65.02,216,53500,100,20250214,613,20250407,410
2180,サニーサイドアップグループ,東証ST,サービス,7614,15197600,4.39,22,7.79,1.73,64.34,289.21,50100,100,20250213,557,20250407,428
2181,パーソルホールディングス,東証PR,サービス,583280,2278437810,3.52,9,15.75,3.04,16.25,84.13,25600,100,20250326,263,20250407,221
2183,リニカル,東証ST,サービス,7323,24740000,5.41,16,-,0.87,-25.24,339.97,29600,100,20250108,367,20250407,258
2185,シイエム・シイ,東証ST,サービス,21546,14364000,3.47,52,8.29,0.97,181,1539.37,150000,100,20250203,1847,20250407,1293
2186,ソーバル,東証ST,サービス,7285,8167498,3.7,33,15.95,1.62,55.93,549.42,89200,100,20250424,966,20250407,795
2198,アイ・ケイ・ケイホールディングス,東証PR,サービス,23666,29956800,3.04,24,20.4,2.26,38.72,349.27,79000,100,20250326,854,20250117,743
2270,雪印メグミルク,東証PR,食料品,182823,70751855,3.87,100,12.83,0.71,201.37,3616.98,258400,100,20250106,2772,20250407,2395
2281,プリマハム,東証PR,食料品,115297,50524399,3.51,80,14.34,0.95,159.18,2396.99,228200,100,20250423,2349,20250407,2012
2292,S　Foods,東証PR,食料品,84380,32267721,3.98,104,18.39,0.68,142.18,3847.43,261500,100,20250422,2773,20250407,2221
2294,柿安本店,東証PR,食料品,33718,12446700,3.14,85,24.32,1.7,111.38,1594.54,270900,100,20250328,3185,20250501,2684
2301,学情,東証PR,サービス,26141,15560000,3.99,67,10,1.68,168.06,999.73,168000,100,20250129,2298,20250407,1514
2304,CSSホールディングス,東証ST,サービス,5064,5285600,3.13,30,10.57,1.75,90.61,547.09,95800,100,20250327,1042,20250407,755
2307,クロスキャット,東証PR,情報通信,17567,17005674,3.19,33,12.59,2.57,82.03,401.35,103300,100,20250221,1313,20250407,830
2311,エプコ,東証ST,サービス,6531,9316000,4.56,32,13.78,1.35,50.86,519.21,70100,100,20250210,801,20250407,630
2317,システナ,東証PR,情報通信,156724,425880000,3.26,12,16.97,4.38,21.69,84.1,36800,100,20250428,376,20250407,312
2329,東北新社,東証ST,情報通信,78936,140206002,4.62,26,10.09,0.99,55.78,569.38,56300,100,20250114,685,20250407,491
2332,クエスト,東証ST,情報通信,7046,5487768,4.21,54,9.55,0.99,134.39,1298.52,128400,100,20250319,1378,20250407,1101
2335,キューブシステム,東証PR,情報通信,15813,15750000,3.98,40,12.49,1.47,80.41,681.3,100400,100,20250106,1064,20250407,900
2337,いちご,東証PR,不動産,169353,445665118,3.03,11.5,10.12,1.46,37.55,260.49,38000,100,20250327,402,20250407,331
2341,アルバイトタイムス,東証ST,サービス,4386,29437249,3.36,5,47,0.98,3.17,151.43,14900,100,20250331,178,20250404,135
2344,平安レイサービス,東証ST,サービス,10067,12306795,4.03,33,7.82,0.47,104.57,1759.09,81800,100,20250411,870,20250407,761
2353,日本駐車場開発,東証PR,不動産,82919,348398600,3.36,8,16.14,4.57,14.75,52.08,23800,100,20250313,251,20250221,198
2354,YE_DIGITAL,東証ST,情報通信,11303,18319400,3.24,20,9.83,1.66,62.78,370.68,61700,100,20250328,660,20250407,481
2359,コア,東証PR,情報通信,26139,14834580,3.12,55,10.13,1.37,173.97,1288.66,176200,100,20250318,1936,20250407,1473
2371,カカクコム,東証PR,サービス,515070,198218300,3.08,80,25.94,9.04,100.16,287.6,259850,100,20250206,2684,20250409,2023
2373,ケア21,東証ST,サービス,5670,14844000,4.45,17,20.63,1.16,18.52,330.72,38200,100,20250422,461,20250117,341
2374,セントケア・ホールディング,東証PR,サービス,19277,25003233,3.89,30,12.67,1.14,60.83,674.37,77100,100,20250324,843,20250407,687
2379,ディップ,東証PR,サービス,127437,60140000,4.48,95,13.86,3.09,152.91,684.99,211900,100,20250106,2527,20250407,1943
2389,デジタルホールディングス,東証PR,サービス,24636,17459907,3.26,46,11.2,0.8,126,1757.51,141100,100,20250327,1580,20250407,1144
2391,プラネット,東証ST,サービス,8284,6632800,3.48,43.5,23.66,1.53,52.78,817.4,124900,100,20250303,1345,20250306,1200
2393,日本ケアサプライ,東証ST,サービス,32410,16237693,3.51,70,17.23,1.86,115.85,1075.07,199600,100,20250327,2149,20250407,1811
2395,新日本科学,東証PR,サービス,64655,41632400,3.22,50,14.69,1.44,105.69,1080.61,155300,100,20250206,1897,20250407,1142
2408,KG情報,東証ST,サービス,4690,7398000,5.68,36,23.09,0.79,27.46,798.22,63400,100,20250328,643,20250407,550
2410,キャリアデザインセンター,東証PR,サービス,9929,5497921,5.26,95,8.02,2.4,225.26,753.54,180600,100,20250128,1847,20250407,1518
2411,ゲンダイエージェンシー,東証ST,情報通信,4748,12300000,5.44,21,12.83,1.13,30.08,341.6,38600,100,20250421,425,20250407,320
2415,ヒューマンホールディングス,東証ST,サービス,16698,10377999,3.98,64,7.59,0.99,211.99,1631.92,160900,100,20250221,1697,20250407,1240
2428,ウェルネット,東証ST,サービス,13580,19400000,4.0,28,12.48,1.53,56.11,458.02,70000,100,20250131,866,20250407,588
2429,ワールドホールディングス,東証PR,サービス,35689,18006800,5.36,106.2,6.58,0.8,301.19,2487.25,198200,100,20250327,2218,20250407,1730
2435,シダー,東証ST,サービス,2502,11476000,4.59,10,6.7,1.72,32.53,126.47,21800,100,20250307,277,20250404,175
2445,タカミヤ,東証PR,サービス,17330,46585600,4.3,16,12.77,0.8,29.14,462.83,37200,100,20250127,422,20250407,333
2449,プラップジャパン,東証ST,サービス,4515,4679010,4.15,40,12.2,0.85,79.12,1139.42,96500,100,20250421,1010,20250407,868
2461,ファンコミュニケーションズ,東証PR,サービス,27758,66248429,6.44,27,23.53,1.54,17.81,271.77,41900,100,20250421,426,20250407,379
2462,ライク,東証PR,サービス,30186,20464800,3.93,58,11.32,1.72,130.28,859.98,147500,100,20250328,1538,20250407,1270
2464,Aoba-BBT,東証ST,サービス,4622,14264100,3.4,11,14.59,0.9,22.21,359.62,32400,100,20250327,349,20250407,302
2469,ヒビノ,東証ST,サービス,23374,10265480,3.07,70,10.52,2.02,216.53,1126.29,227700,100,20250130,3180,20250407,1803
2471,エスプール,東証PR,サービス,23228,79007500,3.4,10,12.17,2.59,24.15,113.58,29400,100,20250107,328,20250407,244
2475,WDBホールディングス,東証PR,サービス,37312,20060000,3.25,60.5,12.3,1.18,151.23,1578.18,186000,100,20250327,1935,20250407,1550
2479,ジェイテック,東証GR,サービス,2100,8572400,4.08,10,10.15,1.49,24.14,164.95,24500,100,20250317,262,20250407,199
2483,翻訳センター,東証ST,サービス,6263,3369000,4.03,75,8.64,0.97,215.13,1914.53,185900,100,20250328,2133,20250407,1695
2485,ティア,東証ST,サービス,10107,22510100,4.45,20,12.87,1.21,34.88,370.94,44900,100,20250214,470,20250407,408
2488,JTP,東証ST,サービス,7147,6015600,3.11,37,13.73,1.93,86.5,614.78,118800,100,20250324,1296,20250407,968
2491,バリューコマース,東証PR,サービス,26577,34471000,6.36,49,7.95,1.26,96.95,613.44,77100,100,20250129,1231,20250407,693
2497,ユナイテッド,東証GR,サービス,27885,40412690,6.96,48,18.68,1.29,36.94,536.86,69000,100,20250218,813,20250407,613
2498,オリエンタルコンサルタンツホールディングス,東証ST,サービス,30693,6169420,4.02,200,10.27,1.22,484.25,4077.36,497500,100,20250128,6000,20250407,4100
2499,日本和装ホールディングス,東証ST,サービス,2905,9134000,4.4,14,9.61,0.79,33.09,400.71,31800,100,20250422,387,20250407,290
2503,キリンホールディングス,東証PR,食料品,1962358,914000000,3.45,74,11.59,1.47,185.19,1458.68,214700,100,20250424,2181,20250117,1902
255A,ジーエルテクノホールディングス,東証ST,精密機器,37555,13681230,3.9,107,7.47,0.83,367.4,3296.77,274500,100,20250226,3200,20250407,2469
256A,飛島ホールディングス,東証PR,建設,33953,19225868,5.1,90,10.91,0.68,161.92,2587.65,176600,100,20250423,1826,20250407,1453
2588,プレミアムウォーターホールディングス,東証ST,食料品,84730,29855619,3.35,95,15.35,3.42,184.88,830.46,283800,100,20250106,3155,20250407,2400
2602,日清オイリオグループ,東証PR,食料品,166895,33716257,3.64,180,12.34,0.84,401.03,5864.53,495000,100,20250106,5210,20250407,4305
2613,J-オイルミルズ,東証PR,食料品,67385,33508446,3.48,70,10.23,0.63,196.52,3190.06,201100,100,20250106,2177,20250407,1830
261A,日水コン,東証ST,サービス,24207,11866000,3.14,64,16.14,1.7,126.41,1198.24,204000,100,20250221,2440,20250106,1410
2659,サンエー,東証PR,小売,181848,63963308,3.52,100,15.97,1.17,177.97,2433.93,284300,100,20250326,3220,20250409,2612
2674,ハードオフコーポレーション,東証PR,小売,25815,13954000,4.11,76,11.63,1.45,159.03,1273.63,185000,100,20250206,1990,20250407,1571
2676,高千穂交易,東証PR,卸売,41348,10171800,3.94,160,25.07,2.28,162.13,1779.99,406500,100,20250321,4340,20250407,3190
2685,アダストリア,東証PR,小売,140886,48800000,3.12,90,10.78,1.73,267.86,1665.51,288700,100,20250107,3500,20250409,2581
2687,シー・ヴイ・エス・ベイエリア,東証ST,小売,2760,5064000,4.77,26,10.89,0.61,50.04,887.13,54500,100,20250129,588,20250407,473
2689,オルバヘルスケアホールディングス,東証ST,卸売,13206,6250000,3.79,80,8.54,1.06,247.33,1987.12,211300,100,20250401,2235,20250407,1800
2733,あらた,東証PR,卸売,115564,36057424,3.18,102,9.76,0.94,328.45,3415.05,320500,100,20250327,3300,20250407,2692
2734,サーラコーポレーション,東証PR,小売,60097,66041147,3.52,32,11.45,0.69,79.47,1325.03,91000,100,20250423,929,20250407,737
2737,トーメンデバイス,東証PR,卸売,35506,6802000,4.98,260,7.4,0.72,705.79,7296.29,522000,100,20250129,7310,20250407,4515
274A,ガーデン,東証ST,小売,15885,6879525,3.9,90,12.03,2,191.9,1156.27,230900,100,20250106,3220,20250407,2223
2750,石光商事,東証ST,卸売,6640,8000000,3.61,30,6.85,0.53,121.08,1553.95,83000,100,20250206,967,20250407,740
2760,東京エレクトロンデバイス,東証PR,卸売,87993,31336500,3.42,96,11.82,1.73,237.54,1624.12,280800,100,20250219,3305,20250407,2326
